mode,variant,model,year,n,events,prevalence,ap,ap_lift,estimable,top20_k,top20_tp
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2010,142,68,0.4788732394366197,0.6429296900124191,0.16405645057579937,True,29,18
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2011,94,32,0.3404255319148936,0.536818843103235,0.1963933111883414,True,19,12
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2012,99,17,0.1717171717171717,0.7042915941573231,0.5325744224401514,True,20,11
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2013,138,102,0.7391304347826086,0.8666201797976081,0.12748974501499943,True,28,25
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2014,129,51,0.3953488372093023,0.5710071844163634,0.17565834720706114,True,26,18
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2015,115,60,0.5217391304347826,0.7149292537447264,0.19319012330994378,True,23,19
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2016,97,32,0.32989690721649484,0.615034359048823,0.28513745183232814,True,20,14
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2017,109,17,0.1559633027522936,0.2946341595161176,0.138670856763824,True,22,6
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2018,122,91,0.7459016393442623,0.8253116261142875,0.0794099867700252,True,25,22
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2019,84,24,0.2857142857142857,0.49939742933525,0.2136831436209643,True,17,10
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2020,106,41,0.3867924528301887,0.4400399172491267,0.05324746441893802,True,22,8
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2021,105,33,0.3142857142857143,0.5280592800007734,0.21377356571505912,True,21,13
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2022,105,73,0.6952380952380952,0.8513786942652066,0.15614059902711142,True,21,19
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2023,80,14,0.175,0.32296281074514893,0.14796281074514894,True,16,5
common_rows,fixedpre_protocol_mean,current_plus_trajectory,2024,91,18,0.1978021978021978,0.35848815633654163,0.16068595853434384,True,19,4
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2005,129,94,0.7286821705426356,0.8183515223392679,0.08966935179663227,True,26,22
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2006,100,13,0.13,0.3777467248214945,0.2477467248214945,True,20,8
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2007,137,44,0.32116788321167883,0.5065740569413704,0.18540617372969154,True,28,17
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2008,140,29,0.20714285714285716,0.4890544572642549,0.2819116001213977,True,28,12
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2009,143,73,0.5104895104895105,0.5098895956797092,-0.0005999148098013718,True,29,15
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2010,142,68,0.4788732394366197,0.5601347608460074,0.08126152140938775,True,29,15
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2011,94,32,0.3404255319148936,0.6101400426055557,0.26971451069066205,True,19,12
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2012,99,17,0.1717171717171717,0.7363447264724989,0.5646275547553272,True,20,11
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2013,138,102,0.7391304347826086,0.8288903299121522,0.08975989512954352,True,28,23
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2014,129,51,0.3953488372093023,0.540286025467024,0.14493718825772167,True,26,17
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2015,115,60,0.5217391304347826,0.7785475458570433,0.25680841542226074,True,23,19
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2016,97,32,0.32989690721649484,0.5602100189540007,0.23031311173750585,True,20,12
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2017,109,17,0.1559633027522936,0.3193267874954318,0.16336348474313822,True,22,6
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2018,122,91,0.7459016393442623,0.8378270645884298,0.09192542524416747,True,25,23
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2019,84,24,0.2857142857142857,0.4400116075224753,0.1542973218081896,True,17,9
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2020,106,41,0.3867924528301887,0.4907893704834242,0.10399691765323549,True,22,8
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2021,105,33,0.3142857142857143,0.5889173526811409,0.2746316383954266,True,21,15
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2022,105,73,0.6952380952380952,0.810130199420914,0.11489210418281881,True,21,16
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2023,80,14,0.175,0.29460354920517423,0.11960354920517424,True,16,5
common_rows,fixedpre_protocol_mean,trajectory_plus_oisst,2024,91,18,0.1978021978021978,0.3187452603420723,0.1209430625398745,True,19,4
common_rows,fixedpre_protocol_q23max,current_only,2005,129,86,0.6666666666666666,0.7347101924262481,0.0680435257595815,True,26,20
common_rows,fixedpre_protocol_q23max,current_only,2006,100,15,0.15,0.6203250047486752,0.4703250047486752,True,20,9
common_rows,fixedpre_protocol_q23max,current_only,2007,137,45,0.3284671532846715,0.6489516982366461,0.3204845449519746,True,28,21
common_rows,fixedpre_protocol_q23max,current_only,2008,140,38,0.2714285714285714,0.48892808268521615,0.21749951125664474,True,28,16
common_rows,fixedpre_protocol_q23max,current_only,2009,143,70,0.48951048951048953,0.6598580409201418,0.17034755140965224,True,29,18
common_rows,fixedpre_protocol_q23max,current_only,2010,142,76,0.5352112676056338,0.7027093213601363,0.16749805375450255,True,29,20
common_rows,fixedpre_protocol_q23max,current_only,2011,94,31,0.32978723404255317,0.46739572124893775,0.13760848720638458,True,19,11
common_rows,fixedpre_protocol_q23max,current_only,2012,99,17,0.1717171717171717,0.6561399164772035,0.4844227447600318,True,20,10
common_rows,fixedpre_protocol_q23max,current_only,2013,138,89,0.644927536231884,0.7849009207904851,0.1399733845586011,True,28,23
common_rows,fixedpre_protocol_q23max,current_only,2014,129,46,0.35658914728682173,0.5222086498933954,0.1656195026065737,True,26,18
common_rows,fixedpre_protocol_q23max,current_only,2015,115,61,0.5304347826086957,0.7581557526007257,0.22772096999202995,True,23,19
common_rows,fixedpre_protocol_q23max,current_only,2016,97,33,0.3402061855670103,0.5580813184597795,0.21787513289276916,True,20,14
common_rows,fixedpre_protocol_q23max,current_only,2017,109,12,0.11009174311926606,0.25635349945985186,0.1462617563405858,True,22,4
common_rows,fixedpre_protocol_q23max,current_only,2018,122,98,0.8032786885245902,0.8756643734393468,0.07238568491475661,True,25,25
common_rows,fixedpre_protocol_q23max,current_only,2019,84,27,0.32142857142857145,0.4922439174512558,0.17081534602268433,True,17,11
common_rows,fixedpre_protocol_q23max,current_only,2020,106,38,0.3584905660377358,0.42102144083936,0.06253087480162417,True,22,9
common_rows,fixedpre_protocol_q23max,current_only,2021,105,33,0.3142857142857143,0.48109277090205904,0.16680705661634476,True,21,13
common_rows,fixedpre_protocol_q23max,current_only,2022,105,71,0.6761904761904762,0.8181761917699724,0.14198571557949613,True,21,18
common_rows,fixedpre_protocol_q23max,current_only,2023,80,15,0.1875,0.19909150362321265,0.011591503623212651,True,16,3
common_rows,fixedpre_protocol_q23max,current_only,2024,91,16,0.17582417582417584,0.22442942922976858,0.04860525340559274,True,19,4
common_rows,fixedpre_protocol_q23max,current_plus_trajectory,2005,129,86,0.6666666666666666,0.7815031142925933,0.11483644762592671,True,26,21
common_rows,fixedpre_protocol_q23max,current_plus_trajectory,2006,100,15,0.15,0.5769328898052302,0.42693288980523014,True,20,9
common_rows,fixedpre_protocol_q23max,current_plus_trajectory,2007,137,45,0.3284671532846715,0.6723695046438207,0.3439023513591492,True,28,22
common_rows,fixedpre_protocol_q23max,current_plus_trajectory,2008,140,38,0.2714285714285714,0.5254077164837734,0.25397914505520197,True,28,15
common_rows,fixedpre_protocol_q23max,current_plus_trajectory,2009,143,70,0.48951048951048953,0.5865346044499912,0.09702411493950164,True,29,18
