cell_id,year,region_group,eligible_primary,event_primary,annual_area_m2_primary,eligible_variant,event_variant,annual_area_m2_variant,variant
westcoast_0133,2005,Central California,True,0,326942.0,True,1,112932.75,fixedpre_protocol_mean
westcoast_0133,2013,Central California,True,0,316706.0,True,1,132050.5,fixedpre_protocol_mean
westcoast_0135,2016,Central California,True,0,94160.0,True,1,30557.0,fixedpre_protocol_mean
westcoast_0142,2021,Central California,True,1,1036556.0,True,0,440166.75,fixedpre_protocol_mean
westcoast_0142,2024,Central California,True,1,637766.0,True,0,252097.0,fixedpre_protocol_mean
westcoast_0143,2015,Central California,True,1,865170.0,True,0,282226.5,fixedpre_protocol_mean
westcoast_0143,2020,Central California,True,1,805304.0,True,0,419769.0,fixedpre_protocol_mean
westcoast_0145,2013,Central California,True,0,141563.0,True,1,80202.5,fixedpre_protocol_mean
westcoast_0151,2010,Southern California,True,1,347565.0,True,0,142965.5,fixedpre_protocol_mean
westcoast_0162,2008,Southern California,True,1,1202897.0,True,0,523923.75,fixedpre_protocol_mean
westcoast_0163,2024,Southern California,True,0,241455.0,True,1,107221.25,fixedpre_protocol_mean
westcoast_0165,2005,Southern California,True,0,1724867.0,True,1,856827.0,fixedpre_protocol_mean
westcoast_0165,2009,Southern California,True,0,1050185.0,True,1,465164.75,fixedpre_protocol_mean
westcoast_0165,2015,Southern California,True,0,305529.0,True,1,163200.5,fixedpre_protocol_mean
westcoast_0165,2020,Southern California,True,0,407474.0,True,1,199453.25,fixedpre_protocol_mean
westcoast_0165,2022,Southern California,True,1,294591.0,True,0,125796.5,fixedpre_protocol_mean
westcoast_0167,2019,Southern California,True,1,23639.0,True,0,10738.0,fixedpre_protocol_mean
westcoast_0167,2022,Southern California,True,1,25128.0,True,0,14449.0,fixedpre_protocol_mean
westcoast_0167,2024,Southern California,True,0,38138.0,True,1,26153.25,fixedpre_protocol_mean
westcoast_0170,2005,Southern California,True,0,107736.0,True,1,54554.25,fixedpre_protocol_mean
westcoast_0170,2006,Southern California,True,0,78103.0,True,1,37305.5,fixedpre_protocol_mean
westcoast_0170,2011,Southern California,True,0,27807.0,True,1,14966.5,fixedpre_protocol_mean
westcoast_0170,2021,Southern California,True,0,46185.0,True,1,22519.0,fixedpre_protocol_mean
westcoast_0171,2006,Southern California,True,1,436698.0,True,0,193036.5,fixedpre_protocol_mean
westcoast_0171,2007,Southern California,True,0,271629.0,True,1,173239.25,fixedpre_protocol_mean
westcoast_0172,2008,Southern California,True,1,36755.0,True,0,14174.75,fixedpre_protocol_mean
westcoast_0173,2008,Southern California,True,1,44725.0,True,0,16343.75,fixedpre_protocol_mean
westcoast_0173,2010,Southern California,True,1,39869.0,True,0,21028.5,fixedpre_protocol_mean
westcoast_0173,2024,Southern California,True,0,75662.0,True,1,42936.0,fixedpre_protocol_mean
westcoast_0175,2021,Southern California,True,0,191505.0,True,1,68030.75,fixedpre_protocol_mean
westcoast_0176,2014,Southern California,True,0,64256.0,True,1,25323.5,fixedpre_protocol_mean
westcoast_0180,2010,Southern California,True,1,1522924.0,True,0,504680.5,fixedpre_protocol_mean
westcoast_0180,2021,Southern California,True,1,489007.0,True,0,198663.75,fixedpre_protocol_mean
westcoast_0181,2005,Southern California,True,0,665993.0,True,1,399466.25,fixedpre_protocol_mean
westcoast_0182,2009,Southern California,True,1,35961.0,True,0,16514.25,fixedpre_protocol_mean
westcoast_0182,2015,Southern California,True,1,42864.0,True,0,15745.75,fixedpre_protocol_mean
westcoast_0182,2018,Southern California,True,1,15632.0,True,0,7634.25,fixedpre_protocol_mean
westcoast_0182,2020,Southern California,True,1,22263.0,True,0,9918.25,fixedpre_protocol_mean
westcoast_0182,2022,Southern California,True,1,44177.0,True,0,18397.25,fixedpre_protocol_mean
westcoast_0183,2008,Southern California,True,1,234147.0,True,0,106739.75,fixedpre_protocol_mean
westcoast_0183,2019,Southern California,True,1,247997.0,True,0,103937.25,fixedpre_protocol_mean
westcoast_0184,2014,Southern California,True,1,19859.0,True,0,8816.5,fixedpre_protocol_mean
westcoast_0186,2023,Southern California,True,0,114533.0,True,1,50131.25,fixedpre_protocol_mean
westcoast_0188,2020,Southern California,True,0,296628.0,True,1,140525.5,fixedpre_protocol_mean
westcoast_0188,2022,Southern California,True,0,92418.0,True,1,36253.0,fixedpre_protocol_mean
westcoast_0192,2011,Southern California,True,0,69333.0,True,1,35801.75,fixedpre_protocol_mean
westcoast_0192,2020,Southern California,True,0,4520.0,True,1,2476.5,fixedpre_protocol_mean
westcoast_0193,2007,Southern California,True,1,54025.0,True,0,18397.0,fixedpre_protocol_mean
westcoast_0193,2008,Southern California,True,1,27663.0,True,0,13740.75,fixedpre_protocol_mean
westcoast_0193,2023,Southern California,True,1,422086.0,True,0,125321.25,fixedpre_protocol_mean
westcoast_0195,2006,Southern California,True,1,84333.0,True,0,32041.75,fixedpre_protocol_mean
westcoast_0195,2010,Southern California,True,1,113827.0,True,0,54284.25,fixedpre_protocol_mean
westcoast_0195,2017,Southern California,True,0,32989.0,True,1,21109.75,fixedpre_protocol_mean
westcoast_0195,2018,Southern California,True,1,36143.0,True,0,12554.5,fixedpre_protocol_mean
westcoast_0203,2009,Southern California,True,1,261312.0,True,0,127011.0,fixedpre_protocol_mean
westcoast_0203,2013,Southern California,True,0,153089.0,True,1,108986.0,fixedpre_protocol_mean
westcoast_0206,2024,Southern California,True,0,1802836.0,True,1,633933.25,fixedpre_protocol_mean
westcoast_0207,2017,Southern California,True,0,158924.0,True,1,65384.25,fixedpre_protocol_mean
westcoast_0210,2009,Southern California,True,0,267772.0,True,1,132692.25,fixedpre_protocol_mean
westcoast_0210,2013,Southern California,True,0,152559.0,True,1,103294.25,fixedpre_protocol_mean
westcoast_0212,2007,Southern California,True,0,216559.0,True,1,94934.0,fixedpre_protocol_mean
westcoast_0212,2015,Southern California,True,1,152530.0,True,0,58291.75,fixedpre_protocol_mean
westcoast_0214,2022,Southern California,True,0,76607.0,True,1,49592.5,fixedpre_protocol_mean
westcoast_0214,2024,Southern California,True,1,195201.0,True,0,74143.0,fixedpre_protocol_mean
westcoast_0216,2009,Southern California,True,1,151382.0,True,0,78046.25,fixedpre_protocol_mean
westcoast_0216,2013,Southern California,True,0,99302.0,True,1,70900.75,fixedpre_protocol_mean
westcoast_0217,2012,Southern California,True,1,697093.0,True,0,192589.25,fixedpre_protocol_mean
westcoast_0218,2012,Southern California,True,1,115311.0,True,0,33846.0,fixedpre_protocol_mean
westcoast_0219,2013,Southern California,True,0,347908.0,True,1,260949.75,fixedpre_protocol_mean
westcoast_0220,2024,Southern California,True,1,847628.0,True,0,352257.25,fixedpre_protocol_mean
westcoast_0222,2009,Southern California,True,1,76827.0,True,0,33995.75,fixedpre_protocol_mean
westcoast_0223,2022,Southern California,True,0,189890.0,True,1,124033.0,fixedpre_protocol_mean
westcoast_0224,2022,Southern California,True,0,164486.0,True,1,110863.75,fixedpre_protocol_mean
westcoast_0226,2014,Southern California,True,0,603179.0,True,1,288663.25,fixedpre_protocol_mean
westcoast_0226,2021,Southern California,True,0,164948.0,True,1,80415.0,fixedpre_protocol_mean
westcoast_0227,2005,Southern California,True,0,273152.0,True,1,215579.75,fixedpre_protocol_mean
