outcome_definition,model,forecast_year,n,events,prevalence,average_precision,ap_lift,recall_top_5pct,recall_top_10pct,recall_top_20pct,recall_top_30pct
q23_year_over_year_decline,december_plus_prior_winter_oisst,2010,151,76,0.5033112582781457,0.5748122434053237,0.07150098512717795,0.06578947368421052,0.11842105263157894,0.25,0.3684210526315789
q23_year_over_year_decline,december_plus_prior_winter_oisst,2011,150,80,0.5333333333333333,0.6932151172441612,0.15988178391082786,0.075,0.1375,0.2625,0.4
q23_year_over_year_decline,december_plus_prior_winter_oisst,2012,121,43,0.35537190082644626,0.5057254994197115,0.1503535985932652,0.09302325581395349,0.18604651162790697,0.3023255813953488,0.4186046511627907
q23_year_over_year_decline,december_plus_prior_winter_oisst,2013,125,25,0.2,0.4555880912625892,0.2555880912625892,0.12,0.32,0.6,0.64
q23_year_over_year_decline,december_plus_prior_winter_oisst,2014,146,92,0.6301369863013698,0.7469233909647591,0.1167864046633893,0.06521739130434782,0.13043478260869565,0.2391304347826087,0.33695652173913043
q23_year_over_year_decline,december_plus_prior_winter_oisst,2015,124,45,0.3629032258064516,0.45949568481662206,0.09659245901017044,0.044444444444444446,0.17777777777777778,0.3111111111111111,0.4444444444444444
q23_year_over_year_decline,december_plus_prior_winter_oisst,2016,109,55,0.5045871559633027,0.701905482571347,0.19731832660804427,0.10909090909090909,0.2,0.2909090909090909,0.4
q23_year_over_year_decline,december_plus_prior_winter_oisst,2017,99,38,0.3838383838383838,0.6352202812420633,0.2513818974036795,0.07894736842105263,0.18421052631578946,0.3684210526315789,0.5526315789473685
q23_year_over_year_decline,december_plus_prior_winter_oisst,2018,118,16,0.13559322033898305,0.28716074804568903,0.15156752770670598,0.125,0.1875,0.3125,0.5
q23_year_over_year_decline,december_plus_prior_winter_oisst,2019,128,98,0.765625,0.8863127376614851,0.1206877376614851,0.07142857142857142,0.12244897959183673,0.25510204081632654,0.3673469387755102
q23_year_over_year_decline,december_plus_prior_winter_oisst,2020,93,29,0.3118279569892473,0.6189552665211491,0.30712730953190176,0.13793103448275862,0.2413793103448276,0.4827586206896552,0.6206896551724138
q23_year_over_year_decline,december_plus_prior_winter_oisst,2021,116,41,0.35344827586206895,0.4623647690243198,0.10891649316225083,0.0975609756097561,0.14634146341463414,0.2682926829268293,0.34146341463414637
q23_year_over_year_decline,december_plus_prior_winter_oisst,2022,112,38,0.3392857142857143,0.5509388722904491,0.21165315800473483,0.07894736842105263,0.21052631578947367,0.39473684210526316,0.4473684210526316
q23_year_over_year_decline,december_plus_prior_winter_oisst,2023,108,73,0.6759259259259259,0.8699182490209898,0.19399232309506387,0.0821917808219178,0.136986301369863,0.2602739726027397,0.3972602739726027
q23_year_over_year_decline,december_plus_prior_winter_oisst,2024,84,16,0.19047619047619047,0.3142006397691408,0.12372444929295034,0.0625,0.1875,0.25,0.4375
q23_year_over_year_decline,march_plus_current_crw5km,2005,145,45,0.3103448275862069,0.3872924223340707,0.07694759474786378,0.044444444444444446,0.13333333333333333,0.28888888888888886,0.4
q23_year_over_year_decline,march_plus_current_crw5km,2006,136,88,0.6470588235294118,0.6480155997591627,0.0009567762297508775,0.06818181818181818,0.10227272727272728,0.17045454545454544,0.25
q23_year_over_year_decline,march_plus_current_crw5km,2007,108,20,0.18518518518518517,0.5812493955419074,0.3960642103567222,0.2,0.35,0.55,0.7
q23_year_over_year_decline,march_plus_current_crw5km,2008,153,48,0.3137254901960784,0.5714145134956382,0.2576890232995598,0.125,0.2708333333333333,0.4375,0.5208333333333334
q23_year_over_year_decline,march_plus_current_crw5km,2009,152,43,0.28289473684210525,0.4755159162950927,0.19262117945298746,0.13953488372093023,0.2558139534883721,0.37209302325581395,0.46511627906976744
q23_year_over_year_decline,march_plus_current_crw5km,2010,151,76,0.5033112582781457,0.5834678769712813,0.08015661869313562,0.06578947368421052,0.13157894736842105,0.2631578947368421,0.3815789473684211
q23_year_over_year_decline,march_plus_current_crw5km,2011,150,80,0.5333333333333333,0.6546340638936308,0.12130073056029744,0.075,0.125,0.2375,0.3875
