C,l1_ratio,inner_macro_ap_lift,inner_rows,domain,year,model_family,feature_set
0.05,1.0,0.23874198314755088,944,full_oisst_domain,2009,elastic_net,trajectory_plus_oisst
1.0,,0.28599808771576285,944,full_oisst_domain,2009,hierarchical_additive,current_only
0.2,,0.2847313875252451,944,full_oisst_domain,2009,hierarchical_additive,current_only
0.05,,0.27930276788552355,944,full_oisst_domain,2009,hierarchical_additive,current_only
0.05,,0.3002413350712809,944,full_oisst_domain,2009,hierarchical_additive,current_plus_trajectory
0.2,,0.2990747624840771,944,full_oisst_domain,2009,hierarchical_additive,current_plus_trajectory
1.0,,0.28904095664438983,944,full_oisst_domain,2009,hierarchical_additive,current_plus_trajectory
0.05,,0.28732124080384286,944,full_oisst_domain,2009,hierarchical_additive,trajectory_plus_oisst
0.2,,0.2812499944297984,944,full_oisst_domain,2009,hierarchical_additive,trajectory_plus_oisst
1.0,,0.2708201631514799,944,full_oisst_domain,2009,hierarchical_additive,trajectory_plus_oisst
0.05,0.0,0.20579192681822442,1000,full_oisst_domain,2010,elastic_net,current_only
0.05,0.5,0.20579192681822442,1000,full_oisst_domain,2010,elastic_net,current_only
0.05,1.0,0.20579192681822442,1000,full_oisst_domain,2010,elastic_net,current_only
0.2,0.0,0.20579192681822442,1000,full_oisst_domain,2010,elastic_net,current_only
0.2,0.5,0.20579192681822442,1000,full_oisst_domain,2010,elastic_net,current_only
0.2,1.0,0.20579192681822442,1000,full_oisst_domain,2010,elastic_net,current_only
1.0,0.0,0.20579192681822442,1000,full_oisst_domain,2010,elastic_net,current_only
1.0,0.5,0.20579192681822442,1000,full_oisst_domain,2010,elastic_net,current_only
1.0,1.0,0.20579192681822442,1000,full_oisst_domain,2010,elastic_net,current_only
0.2,1.0,0.21226697209622883,1000,full_oisst_domain,2010,elastic_net,current_plus_trajectory
0.05,0.5,0.21175940393631273,1000,full_oisst_domain,2010,elastic_net,current_plus_trajectory
0.05,1.0,0.2114756629421718,1000,full_oisst_domain,2010,elastic_net,current_plus_trajectory
0.2,0.5,0.2114669229816777,1000,full_oisst_domain,2010,elastic_net,current_plus_trajectory
0.05,0.0,0.21048129064308885,1000,full_oisst_domain,2010,elastic_net,current_plus_trajectory
1.0,1.0,0.20976271121332957,1000,full_oisst_domain,2010,elastic_net,current_plus_trajectory
0.2,0.0,0.20971323864147176,1000,full_oisst_domain,2010,elastic_net,current_plus_trajectory
1.0,0.5,0.20943623808030085,1000,full_oisst_domain,2010,elastic_net,current_plus_trajectory
1.0,0.0,0.20919740183289373,1000,full_oisst_domain,2010,elastic_net,current_plus_trajectory
0.05,1.0,0.18190423144768078,1000,full_oisst_domain,2010,elastic_net,trajectory_plus_oisst
0.2,1.0,0.18044206459775539,1000,full_oisst_domain,2010,elastic_net,trajectory_plus_oisst
0.05,0.5,0.1803555576959652,1000,full_oisst_domain,2010,elastic_net,trajectory_plus_oisst
0.2,0.5,0.17903094911996223,1000,full_oisst_domain,2010,elastic_net,trajectory_plus_oisst
0.05,0.0,0.1786406385453628,1000,full_oisst_domain,2010,elastic_net,trajectory_plus_oisst
0.2,0.0,0.1779607295209973,1000,full_oisst_domain,2010,elastic_net,trajectory_plus_oisst
1.0,1.0,0.17788082874812894,1000,full_oisst_domain,2010,elastic_net,trajectory_plus_oisst
1.0,0.5,0.17759550901920765,1000,full_oisst_domain,2010,elastic_net,trajectory_plus_oisst
1.0,0.0,0.1773201364086083,1000,full_oisst_domain,2010,elastic_net,trajectory_plus_oisst
0.2,,0.21223423347668954,1000,full_oisst_domain,2010,hierarchical_additive,current_only
0.05,,0.20965501974507614,1000,full_oisst_domain,2010,hierarchical_additive,current_only
1.0,,0.1954737302760856,1000,full_oisst_domain,2010,hierarchical_additive,current_only
0.05,,0.20575690363955634,1000,full_oisst_domain,2010,hierarchical_additive,current_plus_trajectory
0.2,,0.2025946994393565,1000,full_oisst_domain,2010,hierarchical_additive,current_plus_trajectory
1.0,,0.18716118026855408,1000,full_oisst_domain,2010,hierarchical_additive,current_plus_trajectory
1.0,,0.21425310011344637,1000,full_oisst_domain,2010,hierarchical_additive,trajectory_plus_oisst
0.2,,0.21347475880335884,1000,full_oisst_domain,2010,hierarchical_additive,trajectory_plus_oisst
0.05,,0.20482654072234627,1000,full_oisst_domain,2010,hierarchical_additive,trajectory_plus_oisst
0.05,0.0,0.19472804274712793,1000,full_oisst_domain,2011,elastic_net,current_only
0.05,0.5,0.19472804274712793,1000,full_oisst_domain,2011,elastic_net,current_only
0.05,1.0,0.19472804274712793,1000,full_oisst_domain,2011,elastic_net,current_only
0.2,0.0,0.19472804274712793,1000,full_oisst_domain,2011,elastic_net,current_only
0.2,0.5,0.19472804274712793,1000,full_oisst_domain,2011,elastic_net,current_only
0.2,1.0,0.19472804274712793,1000,full_oisst_domain,2011,elastic_net,current_only
1.0,0.0,0.19472804274712793,1000,full_oisst_domain,2011,elastic_net,current_only
1.0,0.5,0.19472804274712793,1000,full_oisst_domain,2011,elastic_net,current_only
1.0,1.0,0.19472804274712793,1000,full_oisst_domain,2011,elastic_net,current_only
0.05,1.0,0.19718913667892224,1000,full_oisst_domain,2011,elastic_net,current_plus_trajectory
0.05,0.5,0.19576585567664684,1000,full_oisst_domain,2011,elastic_net,current_plus_trajectory
0.2,1.0,0.19497913456937485,1000,full_oisst_domain,2011,elastic_net,current_plus_trajectory
0.2,0.5,0.19445038010414004,1000,full_oisst_domain,2011,elastic_net,current_plus_trajectory
0.05,0.0,0.19443105687505216,1000,full_oisst_domain,2011,elastic_net,current_plus_trajectory
1.0,1.0,0.194295789614208,1000,full_oisst_domain,2011,elastic_net,current_plus_trajectory
1.0,0.5,0.19427349993563311,1000,full_oisst_domain,2011,elastic_net,current_plus_trajectory
0.2,0.0,0.19416506109397128,1000,full_oisst_domain,2011,elastic_net,current_plus_trajectory
1.0,0.0,0.19414201128316919,1000,full_oisst_domain,2011,elastic_net,current_plus_trajectory
0.05,1.0,0.159227584140648,1000,full_oisst_domain,2011,elastic_net,trajectory_plus_oisst
0.05,0.5,0.15560529748700555,1000,full_oisst_domain,2011,elastic_net,trajectory_plus_oisst
0.2,1.0,0.15271137200475357,1000,full_oisst_domain,2011,elastic_net,trajectory_plus_oisst
0.05,0.0,0.15267384967267242,1000,full_oisst_domain,2011,elastic_net,trajectory_plus_oisst
0.2,0.5,0.15166488899286917,1000,full_oisst_domain,2011,elastic_net,trajectory_plus_oisst
0.2,0.0,0.15062383707089616,1000,full_oisst_domain,2011,elastic_net,trajectory_plus_oisst
1.0,1.0,0.15021187728745838,1000,full_oisst_domain,2011,elastic_net,trajectory_plus_oisst
1.0,0.5,0.15013079650020592,1000,full_oisst_domain,2011,elastic_net,trajectory_plus_oisst
1.0,0.0,0.14991852390136112,1000,full_oisst_domain,2011,elastic_net,trajectory_plus_oisst
0.2,,0.1786457995498739,1000,full_oisst_domain,2011,hierarchical_additive,current_only
0.05,,0.17550196350540773,1000,full_oisst_domain,2011,hierarchical_additive,current_only
1.0,,0.17155332058484754,1000,full_oisst_domain,2011,hierarchical_additive,current_only
0.05,,0.1773745607158407,1000,full_oisst_domain,2011,hierarchical_additive,current_plus_trajectory
0.2,,0.17705992574329663,1000,full_oisst_domain,2011,hierarchical_additive,current_plus_trajectory
1.0,,0.1683866077829401,1000,full_oisst_domain,2011,hierarchical_additive,current_plus_trajectory
1.0,,0.1896972566433058,1000,full_oisst_domain,2011,hierarchical_additive,trajectory_plus_oisst
0.2,,0.18721480621732547,1000,full_oisst_domain,2011,hierarchical_additive,trajectory_plus_oisst
