domain,model_family,feature_set,year,n,events,prevalence,ap,ap_lift
upwelling_supported_domain,hierarchical_additive,current_only,2011,186,65,0.34946236559139787,0.6290943365993247,0.2796319710079268
upwelling_supported_domain,hierarchical_additive,current_only,2012,196,28,0.14285714285714285,0.6038151776571724,0.46095803480002956
upwelling_supported_domain,hierarchical_additive,current_only,2013,230,185,0.8043478260869565,0.8127179934877664,0.00837016740080987
upwelling_supported_domain,hierarchical_additive,current_only,2014,188,73,0.3882978723404255,0.6070367523430318,0.21873888000260627
upwelling_supported_domain,hierarchical_additive,current_only,2015,163,53,0.32515337423312884,0.5881317662352921,0.2629783920021632
upwelling_supported_domain,hierarchical_additive,current_only,2016,168,71,0.4226190476190476,0.5853575655441612,0.16273851792511357
upwelling_supported_domain,hierarchical_additive,current_only,2017,175,36,0.2057142857142857,0.3341580040897504,0.12844371837546467
upwelling_supported_domain,hierarchical_additive,current_only,2018,181,156,0.861878453038674,0.884926245049027,0.023047792010352897
upwelling_supported_domain,hierarchical_additive,current_only,2019,123,21,0.17073170731707318,0.29296902057988117,0.12223731326280798
upwelling_supported_domain,hierarchical_additive,current_only,2020,156,56,0.358974358974359,0.38977823476642526,0.030803875792066282
upwelling_supported_domain,hierarchical_additive,current_only,2021,161,46,0.2857142857142857,0.5018295900438886,0.2161153043296029
upwelling_supported_domain,hierarchical_additive,current_only,2022,160,126,0.7875,0.7890910531982671,0.0015910531982671339
upwelling_supported_domain,hierarchical_additive,current_only,2023,111,10,0.09009009009009009,0.2408931416312544,0.1508030515411643
upwelling_supported_domain,hierarchical_additive,current_only,2024,138,39,0.2826086956521739,0.4537507891669748,0.17114209351480092
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2005,207,129,0.6231884057971014,0.7317036326370091,0.10851522683990766
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2006,191,39,0.20418848167539266,0.6651049871288861,0.46091650545349344
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2007,217,71,0.3271889400921659,0.5262015565548264,0.19901261646266044
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2008,216,61,0.2824074074074074,0.560363672947023,0.27795626553961567
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2009,228,99,0.4342105263157895,0.5395388915438349,0.10532836522804545
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2010,225,136,0.6044444444444445,0.7748069825901789,0.17036253814573443
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2011,186,65,0.34946236559139787,0.5707222708420184,0.22125990525062056
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2012,196,28,0.14285714285714285,0.5738613287732862,0.43100418591614337
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2013,230,185,0.8043478260869565,0.7948264993173657,-0.009521326769590832
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2014,188,73,0.3882978723404255,0.5710565502210467,0.18275867788062122
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2015,163,53,0.32515337423312884,0.5673286895033246,0.24217531527019576
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2016,168,71,0.4226190476190476,0.5908293934627253,0.16821034584367772
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2017,175,36,0.2057142857142857,0.34847010193607214,0.14275581622178643
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2018,181,156,0.861878453038674,0.8889985595540796,0.02712010651540553
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2019,123,21,0.17073170731707318,0.3660009854388958,0.19526927812182263
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2020,156,56,0.358974358974359,0.3781385539181681,0.01916419494380911
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2021,161,46,0.2857142857142857,0.5104170210322598,0.22470273531797413
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2022,160,126,0.7875,0.8228007723798108,0.035300772379810774
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2023,111,10,0.09009009009009009,0.3568242692935708,0.26673417920348075
upwelling_supported_domain,hierarchical_additive,current_plus_trajectory,2024,138,39,0.2826086956521739,0.39179197831455853,0.10918328266238464
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2005,207,129,0.6231884057971014,0.7535221085835575,0.13033370278645606
