domain,model_family,feature_set,budget_fraction,year,n_candidates,selected_n,events,true_positives,precision,recall
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2022,110,33,74,26,0.7878787878787878,0.35135135135135137
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2023,87,27,14,8,0.2962962962962963,0.5714285714285714
full_oisst_domain,logistic,trajectory_plus_oisst,0.3,2024,102,31,17,8,0.25806451612903225,0.47058823529411764
full_oisst_domain,random_forest,current_only,0.05,2005,144,8,89,8,1.0,0.0898876404494382
full_oisst_domain,random_forest,current_only,0.05,2006,133,7,19,4,0.5714285714285714,0.21052631578947367
full_oisst_domain,random_forest,current_only,0.05,2007,158,8,47,5,0.625,0.10638297872340426
full_oisst_domain,random_forest,current_only,0.05,2008,160,8,40,5,0.625,0.125
full_oisst_domain,random_forest,current_only,0.05,2009,160,8,79,5,0.625,0.06329113924050633
full_oisst_domain,random_forest,current_only,0.05,2010,158,8,77,5,0.625,0.06493506493506493
full_oisst_domain,random_forest,current_only,0.05,2011,141,8,51,5,0.625,0.09803921568627451
full_oisst_domain,random_forest,current_only,0.05,2012,144,8,26,6,0.75,0.23076923076923078
full_oisst_domain,random_forest,current_only,0.05,2013,159,8,97,7,0.875,0.07216494845360824
full_oisst_domain,random_forest,current_only,0.05,2014,144,8,53,5,0.625,0.09433962264150944
full_oisst_domain,random_forest,current_only,0.05,2015,120,6,59,6,1.0,0.1016949152542373
full_oisst_domain,random_forest,current_only,0.05,2016,111,6,37,4,0.6666666666666666,0.10810810810810811
full_oisst_domain,random_forest,current_only,0.05,2017,122,7,17,2,0.2857142857142857,0.11764705882352941
full_oisst_domain,random_forest,current_only,0.05,2018,134,7,104,7,1.0,0.0673076923076923
full_oisst_domain,random_forest,current_only,0.05,2019,93,5,29,4,0.8,0.13793103448275862
full_oisst_domain,random_forest,current_only,0.05,2020,117,6,41,4,0.6666666666666666,0.0975609756097561
full_oisst_domain,random_forest,current_only,0.05,2021,117,6,38,3,0.5,0.07894736842105263
full_oisst_domain,random_forest,current_only,0.05,2022,110,6,74,6,1.0,0.08108108108108109
