scope,model_family,feature_set,year,n,events,prevalence,ap_lift
giraldo_matched,logistic,current_plus_trajectory,2013,17,16,0.9411764705882353,0.05882352941176472
giraldo_matched,logistic,current_plus_trajectory,2014,19,10,0.5263157894736842,0.05394861932013639
giraldo_matched,logistic,current_plus_trajectory,2015,13,2,0.15384615384615385,0.6794871794871794
giraldo_matched,logistic,current_plus_trajectory,2016,16,6,0.375,0.14924242424242418
giraldo_matched,logistic,current_plus_trajectory,2017,18,4,0.2222222222222222,0.23313492063492064
giraldo_matched,logistic,current_plus_trajectory,2018,20,18,0.9,0.07530394561483333
giraldo_matched,logistic,current_plus_trajectory,2019,21,6,0.2857142857142857,0.4203042328042328
giraldo_matched,logistic,current_plus_trajectory,2020,26,8,0.3076923076923077,0.19907176157176154
giraldo_matched,logistic,current_plus_trajectory,2021,7,0,0.0,
giraldo_matched,logistic,trajectory_plus_oisst,2005,24,11,0.4583333333333333,0.1251251273978547
giraldo_matched,logistic,trajectory_plus_oisst,2006,23,3,0.13043478260869565,0.7862318840579708
giraldo_matched,logistic,trajectory_plus_oisst,2007,39,10,0.2564102564102564,0.18128056638350765
giraldo_matched,logistic,trajectory_plus_oisst,2008,42,12,0.2857142857142857,0.25931091054607924
giraldo_matched,logistic,trajectory_plus_oisst,2009,31,9,0.2903225806451613,0.14013980565541123
giraldo_matched,logistic,trajectory_plus_oisst,2010,36,22,0.6111111111111112,0.18081621551652982
giraldo_matched,logistic,trajectory_plus_oisst,2011,40,12,0.3,0.2407799266318536
giraldo_matched,logistic,trajectory_plus_oisst,2012,32,2,0.0625,0.9375
giraldo_matched,logistic,trajectory_plus_oisst,2013,17,16,0.9411764705882353,0.05514705882352944
giraldo_matched,logistic,trajectory_plus_oisst,2014,19,10,0.5263157894736842,0.1741188197767145
giraldo_matched,logistic,trajectory_plus_oisst,2015,13,2,0.15384615384615385,0.8461538461538461
giraldo_matched,logistic,trajectory_plus_oisst,2016,16,6,0.375,0.15850168350168348
giraldo_matched,logistic,trajectory_plus_oisst,2017,18,4,0.2222222222222222,0.22988816738816742
giraldo_matched,logistic,trajectory_plus_oisst,2018,20,18,0.9,0.07530394561483333
giraldo_matched,logistic,trajectory_plus_oisst,2019,21,6,0.2857142857142857,0.40061050061050063
giraldo_matched,logistic,trajectory_plus_oisst,2020,26,8,0.3076923076923077,0.16220120459250892
giraldo_matched,logistic,trajectory_plus_oisst,2021,7,0,0.0,
giraldo_matched,random_forest,current_only,2005,24,11,0.4583333333333333,0.1210228719587007
giraldo_matched,random_forest,current_only,2006,23,3,0.13043478260869565,0.6076604554865425
giraldo_matched,random_forest,current_only,2007,39,10,0.2564102564102564,0.10913018235908267
giraldo_matched,random_forest,current_only,2008,42,12,0.2857142857142857,0.1653489602132444
giraldo_matched,random_forest,current_only,2009,31,9,0.2903225806451613,0.2029520459627986
giraldo_matched,random_forest,current_only,2010,36,22,0.6111111111111112,0.07473691231770407
