validation_scheme,heldout_band,target_definition,train_rows,test_rows,train_positive_count,test_positive_count,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,feature_family,model,decision_threshold,status,notes
three_band_holdout,band_2_central,actionable_drop,1224,576,318,152,0.272640,0.516851,0.453947,0.277108,0.344140,0.402567,83,180,69,244,thermal_absolute,Logistic Regression,0.484325,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,actionable_drop,1224,576,318,152,0.574271,0.759760,0.302632,0.686567,0.420091,0.340741,106,21,46,403,thermal_absolute,Random Forest,0.597188,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,actionable_drop,1224,576,318,152,0.306936,0.516587,0.506579,0.289474,0.368421,0.440503,75,189,77,235,thermal_relative,Logistic Regression,0.495226,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,actionable_drop,1224,576,318,152,0.444565,0.683357,0.361842,0.429688,0.392857,0.373641,97,73,55,351,thermal_relative,Random Forest,0.604322,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,actionable_drop,1224,576,318,152,0.445735,0.723607,0.750000,0.382550,0.506667,0.629139,38,184,114,240,trajectory_absolute,Logistic Regression,0.509061,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,actionable_drop,1224,576,318,152,0.417829,0.725360,0.375000,0.448819,0.408602,0.387755,95,70,57,354,trajectory_absolute,Random Forest,0.714554,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,actionable_drop,1224,576,318,152,0.438354,0.713707,0.868421,0.356757,0.505747,0.674847,20,238,132,186,trajectory_relative,Logistic Regression,0.373448,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,actionable_drop,1224,576,318,152,0.412935,0.686538,0.375000,0.407143,0.390411,0.381016,95,83,57,341,trajectory_relative,Random Forest,0.673709,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,actionable_drop,1224,576,318,152,0.530683,0.758456,0.657895,0.467290,0.546448,0.608273,52,114,100,310,relative_dynamic_combined,Logistic Regression,0.568193,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,actionable_drop,1224,576,318,152,0.538005,0.779667,0.434211,0.578947,0.496241,0.457064,86,48,66,376,relative_dynamic_combined,Random Forest,0.656364,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,actionable_drop,1224,576,318,152,0.457000,0.730605,0.710526,0.387097,0.501160,0.608794,44,171,108,253,relative_dynamic_plus_habitat_context,Logistic Regression,0.496331,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_2_central,actionable_drop,1224,576,318,152,0.517947,0.768713,0.493421,0.559701,0.524476,0.505391,77,59,75,365,relative_dynamic_plus_habitat_context,Random Forest,0.669052,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,actionable_drop,1188,612,338,132,0.737534,0.936127,0.757576,0.662252,0.706714,0.736377,32,51,100,429,canopy_absolute_baseline,Logistic Regression,0.373181,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,actionable_drop,1188,612,338,132,0.665980,0.928078,0.098485,0.650000,0.171053,0.118613,119,7,13,473,canopy_absolute_baseline,Random Forest,0.656251,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,actionable_drop,1188,612,338,132,0.631810,0.871212,0.856061,0.457490,0.596306,0.729032,19,134,113,346,canopy_relative,Logistic Regression,0.400953,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,actionable_drop,1188,612,338,132,0.608275,0.888715,0.598485,0.622047,0.610039,0.603053,53,48,79,432,canopy_relative,Random Forest,0.589385,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,actionable_drop,1188,612,338,132,0.205158,0.443403,0.234848,0.233083,0.233962,0.234493,101,102,31,378,thermal_absolute,Logistic Regression,0.511458,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,actionable_drop,1188,612,338,132,0.301255,0.648737,0.030303,0.148148,0.050314,0.036036,128,23,4,457,thermal_absolute,Random Forest,0.592439,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,actionable_drop,1188,612,338,132,0.172014,0.362626,0.515152,0.155606,0.239016,0.352332,64,369,68,111,thermal_relative,Logistic Regression,0.429790,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,actionable_drop,1188,612,338,132,0.295798,0.560164,0.250000,0.284483,0.266129,0.256211,99,83,33,397,thermal_relative,Random Forest,0.543674,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,actionable_drop,1188,612,338,132,0.609224,0.900063,0.681818,0.588235,0.631579,0.660793,42,63,90,417,trajectory_absolute,Logistic Regression,0.492032,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,actionable_drop,1188,612,338,132,0.658272,0.928614,0.318182,0.666667,0.430769,0.355330,90,21,42,459,trajectory_absolute,Random Forest,0.589799,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,actionable_drop,1188,612,338,132,0.634426,0.866698,0.818182,0.463519,0.591781,0.709593,24,125,108,355,trajectory_relative,Logistic Regression,0.419531,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,actionable_drop,1188,612,338,132,0.544898,0.850347,0.431818,0.532710,0.476987,0.448819,75,50,57,430,trajectory_relative,Random Forest,0.618403,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,actionable_drop,1188,612,338,132,0.459372,0.762484,0.500000,0.423077,0.458333,0.482456,66,90,66,390,relative_dynamic_combined,Logistic Regression,0.564723,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,actionable_drop,1188,612,338,132,0.621517,0.897285,0.386364,0.586207,0.465753,0.414634,81,36,51,444,relative_dynamic_combined,Random Forest,0.575939,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_3_north,actionable_drop,1188,612,338,132,0.475451,0.762500,0.515152,0.430380,0.468966,0.495627,64,90,68,390,relative_dynamic_plus_habitat_context,Logistic Regression,0.547323,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
