model_family,feature_set,forecast_year,n,events,prevalence,average_precision,ap_lift,recall_top_5pct,selected_top_5pct,recall_top_10pct,selected_top_10pct,recall_top_20pct,selected_top_20pct,recall_top_30pct,selected_top_30pct
random_forest,monthly_and_daily_crw,2022,112,38,0.3392857142857143,0.5324614927687985,0.1931757784830842,0.13157894736842105,6,0.23684210526315788,12,0.3157894736842105,23,0.42105263157894735,34
random_forest,monthly_and_daily_crw,2023,108,73,0.6759259259259259,0.8693014462356099,0.19337552030968397,0.0821917808219178,6,0.136986301369863,11,0.273972602739726,22,0.3972602739726027,33
random_forest,monthly_and_daily_crw,2024,84,16,0.19047619047619047,0.30321894106804975,0.11274275059185929,0.0625,5,0.125,9,0.1875,17,0.4375,26
random_forest,monthly_crw,2005,145,45,0.3103448275862069,0.4008935782331245,0.09054875064691759,0.1111111111111111,8,0.15555555555555556,15,0.3111111111111111,29,0.4,44
random_forest,monthly_crw,2006,136,88,0.6470588235294118,0.6768320306006333,0.029773207071221552,0.045454545454545456,7,0.11363636363636363,14,0.2159090909090909,28,0.3181818181818182,41
random_forest,monthly_crw,2007,108,20,0.18518518518518517,0.5717309439612723,0.38654575877608716,0.25,6,0.35,11,0.5,22,0.75,33
random_forest,monthly_crw,2008,153,48,0.3137254901960784,0.5482866261437596,0.23456113594768113,0.125,8,0.2916666666666667,16,0.4166666666666667,31,0.5,46
random_forest,monthly_crw,2009,152,43,0.28289473684210525,0.4982827345456496,0.21538799770354433,0.11627906976744186,8,0.27906976744186046,16,0.3953488372093023,31,0.4883720930232558,46
random_forest,monthly_crw,2010,151,76,0.5033112582781457,0.6578845220353957,0.15457326375725,0.07894736842105263,8,0.13157894736842105,16,0.27631578947368424,31,0.3815789473684211,46
random_forest,monthly_crw,2011,150,80,0.5333333333333333,0.6793781770075509,0.14604484367421755,0.075,8,0.1375,15,0.2625,30,0.4,45
random_forest,monthly_crw,2012,121,43,0.35537190082644626,0.4862439240101907,0.1308720231837444,0.06976744186046512,7,0.13953488372093023,13,0.32558139534883723,25,0.3953488372093023,37
random_forest,monthly_crw,2013,125,25,0.2,0.46660416021383055,0.26660416021383054,0.2,7,0.36,13,0.48,25,0.6,38
random_forest,monthly_crw,2014,146,92,0.6301369863013698,0.7172381494603312,0.08710116315896133,0.06521739130434782,8,0.09782608695652174,15,0.21739130434782608,30,0.33695652173913043,44
random_forest,monthly_crw,2015,124,45,0.3629032258064516,0.37202153932129384,0.009118313514842213,0.022222222222222223,7,0.06666666666666667,13,0.15555555555555556,25,0.26666666666666666,38
random_forest,monthly_crw,2016,109,55,0.5045871559633027,0.6163585514472315,0.11177139548392878,0.07272727272727272,6,0.14545454545454545,11,0.2727272727272727,22,0.4,33
random_forest,monthly_crw,2017,99,38,0.3838383838383838,0.6105700751227693,0.22673169128438547,0.10526315789473684,5,0.21052631578947367,10,0.34210526315789475,20,0.47368421052631576,30
random_forest,monthly_crw,2018,118,16,0.13559322033898305,0.25714985003366886,0.12155662969468581,0.125,6,0.125,12,0.375,24,0.4375,36
random_forest,monthly_crw,2019,128,98,0.765625,0.8639117691113354,0.09828676911133538,0.07142857142857142,7,0.12244897959183673,13,0.24489795918367346,26,0.35714285714285715,39
random_forest,monthly_crw,2020,93,29,0.3118279569892473,0.5956282812931337,0.2838003243038864,0.10344827586206896,5,0.2413793103448276,10,0.4482758620689655,19,0.6206896551724138,28
