site_id,latitude,longitude,region_group,field_years,support_m,overlap_cluster,pre2005_footprint_pixels,positive_reference_years,stable_support
LONG_POINT_E VRG,33.73595,-118.4012,Southern California,13,1000,s1000_c001,225,20,True
LOPEZ_DC UCSC,36.022240499999995,-121.5812165,Central California,10,1000,s1000_c037,1221,21,True
LOPEZ_OLD_UC UCSC,36.030994,-121.582622,Central California,1,1000,s1000_c037,1184,21,True
LOVERS_DC UCSC,36.62577,-121.9107,Central California,12,1000,s1000_c005,530,17,True
LOVERS_UC UCSC,36.62422,-121.9091,Central California,12,1000,s1000_c005,507,17,True
LUNADA_BAY VRG,33.77106,-118.431,Southern California,2,1000,s1000_c001,923,20,True
MACABEE_DC UCSC,36.61818,-121.8968,Central California,22,1000,s1000_c005,405,18,True
MACABEE_UC UCSC,36.61715,-121.8957,Central California,22,1000,s1000_c005,377,18,True
MALPASO UCSC,36.46575,-121.934,Central California,15,1000,s1000_c038,666,18,True
MATLAHUAYL VRG,32.85116,-117.2702,Southern California,4,1000,s1000_c015,364,16,True
MONASTERY_DC UCSC,36.52542,-121.9333,Central California,23,1000,s1000_c011,621,16,True
MONTANA_DE_ORO UCSC,35.23323,-120.8908,Central California,11,1000,s1000_c008,745,19,True
MacKerricher North,39.4928,-123.802,Northern California,4,1000,s1000_c039,94,17,True
Mendocino Headlands,39.30528,-123.811,Northern California,13,1000,s1000_c040,422,18,True
Monument,38.9277,-123.735,Northern California,3,1000,s1000_c041,592,16,True
NAPLES_CEN UCSB,34.42185,-119.9515,Southern California,22,1000,s1000_c042,315,19,True
NAPLES_E UCSB,34.42333,-119.951,Southern California,19,1000,s1000_c042,525,20,True
NAPLES_W UCSB,34.42463,-119.9553,Southern California,18,1000,s1000_c042,689,20,True
NICHOLAS_CANYON_W VRG,34.03996,-118.9243,Southern California,7,1000,s1000_c043,747,21,True
NORTH_SAN_SIMEON UCSC,35.63504,-121.2116,Central California,2,1000,s1000_c044,1275,20,True
OTTER_PT_DC UCSC,36.63648,-121.9212,Central California,14,1000,s1000_c005,690,18,True
OTTER_PT_UC UCSC,36.63463,-121.9189,Central California,14,1000,s1000_c005,699,19,True
Ocean Cove,38.555119,-123.305664,Northern California,14,1000,s1000_c045,280,18,True
PARANOIDS UCSC,35.53717,-121.1002,Central California,2,1000,s1000_c046,1026,19,True
PESCADERO_DC UCSC,36.55941,-121.9552,Central California,19,1000,s1000_c036,1028,18,True
PESCADERO_UC UCSC,36.56112,-121.9598,Central California,18,1000,s1000_c036,1144,18,True
PICO_CREEK_DC UCSC,35.60532,-121.1507,Central California,2,1000,s1000_c047,932,20,True
