outcome,axis,left_out_overlap_cluster,reference_estimate_per_sd,estimate_per_sd,absolute_change,same_direction_as_reference,n,remaining_overlap_clusters,years
mur_brier_gain,grazing_log1p,s300_c072,-0.005297162135512373,-0.005212126567841894,8.5035567670479e-05,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c073,-0.005297162135512373,-0.005195051911007857,0.00010211022450451641,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c074,-0.005297162135512373,-0.0056549826027533475,0.0003578204672409742,True,729,119,14
mur_brier_gain,grazing_log1p,s300_c075,-0.005297162135512373,-0.0057338091510250044,0.0004366470155126312,True,729,119,14
mur_brier_gain,grazing_log1p,s300_c077,-0.005297162135512373,-0.00569793811678481,0.0004007759812724365,True,732,119,14
mur_brier_gain,grazing_log1p,s300_c078,-0.005297162135512373,-0.005634183955597106,0.0003370218200847326,True,731,119,14
mur_brier_gain,grazing_log1p,s300_c079,-0.005297162135512373,-0.005307036788020693,9.87465250831994e-06,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c080,-0.005297162135512373,-0.004942252241077492,0.00035490989443488167,True,721,119,14
mur_brier_gain,grazing_log1p,s300_c081,-0.005297162135512373,-0.005264551133036117,3.261100247625628e-05,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c084,-0.005297162135512373,-0.0053147584161080605,1.759628059568724e-05,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c085,-0.005297162135512373,-0.005298122970427091,9.60834914717594e-07,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c086,-0.005297162135512373,-0.004996967091015922,0.0003001950444964513,True,732,119,14
mur_brier_gain,grazing_log1p,s300_c087,-0.005297162135512373,-0.005902387557832903,0.0006052254223205301,True,726,119,14
mur_brier_gain,grazing_log1p,s300_c088,-0.005297162135512373,-0.005445470492669551,0.00014830835715717774,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c089,-0.005297162135512373,-0.006272146874691721,0.0009749847391793479,True,720,119,14
mur_brier_gain,grazing_log1p,s300_c090,-0.005297162135512373,-0.005203886894315726,9.327524119664716e-05,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c091,-0.005297162135512373,-0.005199418689744261,9.774344576811249e-05,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c092,-0.005297162135512373,-0.005503358045908204,0.00020619591039583093,True,730,119,14
mur_brier_gain,grazing_log1p,s300_c093,-0.005297162135512373,-0.005166133404795454,0.0001310287307169193,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c094,-0.005297162135512373,-0.005131004519886902,0.00016615761562547085,True,732,119,14
mur_brier_gain,grazing_log1p,s300_c096,-0.005297162135512373,-0.005518055393750221,0.00022089325823784756,True,730,119,14
mur_brier_gain,grazing_log1p,s300_c097,-0.005297162135512373,-0.005523958407407058,0.00022679627189468518,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c098,-0.005297162135512373,-0.005319906964049449,2.2744828537075643e-05,True,732,119,14
mur_brier_gain,grazing_log1p,s300_c099,-0.005297162135512373,-0.004736800338710224,0.0005603617968021491,True,731,119,14
mur_brier_gain,grazing_log1p,s300_c101,-0.005297162135512373,-0.005289426829374691,7.735306137682078e-06,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c102,-0.005297162135512373,-0.00493675485119191,0.0003604072843204631,True,733,119,14
mur_brier_gain,grazing_log1p,s300_c103,-0.005297162135512373,-0.004538443220958099,0.0007587189145542746,True,729,119,14
mur_brier_gain,grazing_log1p,s300_c104,-0.005297162135512373,-0.005180360689730674,0.00011680144578169946,True,728,119,14
mur_brier_gain,grazing_log1p,s300_c105,-0.005297162135512373,-0.004635917640600247,0.0006612444949121261,True,730,119,14
mur_brier_gain,grazing_log1p,s300_c106,-0.005297162135512373,-0.006129984896264534,0.0008328227607521605,True,724,119,14
mur_brier_gain,grazing_log1p,s300_c107,-0.005297162135512373,-0.005869525097051935,0.0005723629615395614,True,727,119,14
mur_brier_gain,grazing_log1p,s300_c109,-0.005297162135512373,-0.005502685943953454,0.00020552380844108056,True,726,119,14
mur_brier_gain,grazing_log1p,s300_c110,-0.005297162135512373,-0.00567942076380902,0.0003822586282966464,True,728,119,14
mur_brier_gain,grazing_log1p,s300_c111,-0.005297162135512373,-0.005054331181627408,0.00024283095388496524,True,725,119,14
mur_brier_gain,grazing_log1p,s300_c112,-0.005297162135512373,-0.005118725871609424,0.00017843626390294954,True,732,119,14
mur_brier_gain,grazing_log1p,s300_c113,-0.005297162135512373,-0.005425927140795201,0.00012876500528282743,True,727,119,14
mur_brier_gain,grazing_log1p,s300_c114,-0.005297162135512373,-0.005699958405719513,0.00040279627020714005,True,729,119,14
mur_brier_gain,grazing_log1p,s300_c115,-0.005297162135512373,-0.0057858313012141786,0.0004886691657018053,True,731,119,14
mur_brier_gain,grazing_log1p,s300_c118,-0.005297162135512373,-0.004913778097429775,0.00038338403808259834,True,732,119,14
mur_brier_gain,grazing_log1p,s300_c119,-0.005297162135512373,-0.0046203946682709905,0.0006767674672413827,True,730,119,14
mur_brier_gain,grazing_log1p,s300_c120,-0.005297162135512373,-0.004365305711790418,0.0009318564237219551,True,724,119,14
mur_brier_gain,grazing_log1p,s300_c123,-0.005297162135512373,-0.005304899145818718,7.737010306345035e-06,True,721,119,14
mur_brier_gain,grazing_log1p,s300_c124,-0.005297162135512373,-0.005101761230964893,0.0001954009045474804,True,730,119,14
mur_brier_gain,grazing_log1p,s300_c125,-0.005297162135512373,-0.0054703162562671865,0.00017315412075481328,True,729,119,14
mur_brier_gain,grazing_log1p,s300_c126,-0.005297162135512373,-0.005543159193408225,0.0002459970578958517,True,730,119,14
mur_brier_gain,grazing_log1p,s300_c127,-0.005297162135512373,-0.004203704726939079,0.001093457408573294,True,720,119,14
mur_brier_gain,grazing_log1p,s300_c128,-0.005297162135512373,-0.005610099673754025,0.0003129375382416519,True,724,119,14
mur_brier_gain,grazing_log1p,s300_c129,-0.005297162135512373,-0.005376303486603376,7.914135109100308e-05,True,724,119,14
mur_brier_gain,grazing_log1p,s300_c130,-0.005297162135512373,-0.006071077254603192,0.0007739151190908188,True,711,119,14
mur_brier_gain,grazing_log1p,s300_c131,-0.005297162135512373,-0.005153360958784032,0.000143801176728341,True,733,119,14
