domain,model,omitted_year,macro_year_ap_lift,macro_region_year_ap_lift
upwelling_supported_domain,trajectory_plus_oisst,2011,0.16601085326945383,0.199165975911211
upwelling_supported_domain,trajectory_plus_oisst,2012,0.14756516429372862,0.19714139435126013
upwelling_supported_domain,trajectory_plus_oisst,2013,0.16947473737461008,0.20138133423218266
upwelling_supported_domain,trajectory_plus_oisst,2014,0.16270723139190957,0.19293973392040936
upwelling_supported_domain,trajectory_plus_oisst,2015,0.15782817331018328,0.19445653428629295
upwelling_supported_domain,trajectory_plus_oisst,2016,0.15399766847959612,0.18735867429869557
upwelling_supported_domain,trajectory_plus_oisst,2017,0.16004348121815198,0.19582129123607833
upwelling_supported_domain,trajectory_plus_oisst,2018,0.16732622830985497,0.19969704260106355
upwelling_supported_domain,trajectory_plus_oisst,2019,0.16536957948687553,0.19425697618875126
upwelling_supported_domain,trajectory_plus_oisst,2020,0.16508068788157293,0.19740856230222154
upwelling_supported_domain,trajectory_plus_oisst,2021,0.16014175337382944,0.19577773748194222
upwelling_supported_domain,trajectory_plus_oisst,2022,0.16700439539919965,0.1945336470776056
upwelling_supported_domain,trajectory_plus_oisst,2023,0.16090458204168506,0.18743269798525097
upwelling_supported_domain,trajectory_plus_oisst,2024,0.16737616604195615,0.1940671490038232
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2005,0.1632093307179812,0.21337769663128542
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2006,0.14570945717258574,0.18682769619015602
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2007,0.1624737648768115,0.21038444671472062
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2008,0.15278243928262555,0.20603435839231998
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2009,0.16769313820310466,0.21211731477657594
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2010,0.16331061206677658,0.20389190952716194
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2011,0.16345875549019934,0.21579020021538542
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2012,0.14293837215491415,0.21001591306543407
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2013,0.16612721737277564,0.21512682842427128
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2014,0.16029927750959327,0.20656759939035413
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2015,0.15503552110514535,0.20808975351978387
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2016,0.15315747091592075,0.20183801618100536
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2017,0.15867620606476254,0.20770343406752545
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2018,0.16344821947130683,0.21208467175755513
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2019,0.1638447566180274,0.20799699301055752
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2020,0.16319143592335725,0.21094614911358817
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2021,0.16240156398070554,0.20661614708914916
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2022,0.1621593883472881,0.20788216946639257
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2023,0.14830001359407347,0.19168089999746563
upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,2024,0.16248738697179,0.2066947284517972
