scope,domain,model,n,events,prevalence,ap,ap_lift,estimable,year,top10_k,top10_tp,top10_recall,top20_k,top20_tp,top20_recall
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,85,14,0.16470588235294117,0.5769305239135575,0.41222464156061633,True,2006,9,5,0.35714285714285715,17,9,0.6428571428571429
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,101,31,0.3069306930693069,0.4006334882496331,0.09370279518032615,True,2007,11,6,0.1935483870967742,21,8,0.25806451612903225
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,103,28,0.27184466019417475,0.549682641664034,0.2778379814698593,True,2008,11,8,0.2857142857142857,21,11,0.39285714285714285
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,103,44,0.42718446601941745,0.4217191680001737,-0.005465298019243725,True,2009,11,7,0.1590909090909091,21,9,0.20454545454545456
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,102,61,0.5980392156862745,0.6758419142572645,0.07780269857098998,True,2010,11,7,0.11475409836065574,21,14,0.22950819672131148
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,96,30,0.3125,0.3874879735259574,0.07498797352595737,True,2011,10,4,0.13333333333333333,20,9,0.3
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,98,12,0.12244897959183673,0.5873242364882126,0.4648752568963759,True,2012,10,7,0.5833333333333334,20,9,0.75
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,107,88,0.822429906542056,0.8467171042990637,0.024287197757007606,True,2013,11,9,0.10227272727272728,22,18,0.20454545454545456
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,87,32,0.367816091954023,0.5028341471114954,0.13501805515747245,True,2014,9,5,0.15625,18,9,0.28125
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,72,22,0.3055555555555556,0.5405849823975388,0.23502942684198325,True,2015,8,5,0.22727272727272727,15,6,0.2727272727272727
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,76,32,0.42105263157894735,0.6917650120161981,0.27071238043725077,True,2016,8,6,0.1875,16,12,0.375
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,80,13,0.1625,0.32835641260925624,0.16585641260925624,True,2017,8,3,0.23076923076923078,16,4,0.3076923076923077
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,82,72,0.8780487804878049,0.9532369383727195,0.07518815788491462,True,2018,9,9,0.125,17,17,0.2361111111111111
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,57,8,0.14035087719298245,0.20800482929020664,0.06765395209722419,True,2019,6,1,0.125,12,3,0.375
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,77,25,0.3246753246753247,0.4047423699712813,0.08006704529595665,True,2020,8,3,0.12,16,5,0.2
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,83,21,0.25301204819277107,0.3480866603991108,0.09507461220633973,True,2021,9,4,0.19047619047619047,17,8,0.38095238095238093
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,77,61,0.7922077922077922,0.8918837414490635,0.09967594924127121,True,2022,8,8,0.13114754098360656,16,15,0.2459016393442623
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,53,3,0.05660377358490566,0.41960784313725485,0.3630040695523492,True,2023,6,1,0.3333333333333333,11,2,0.6666666666666666
year,upwelling_supported_domain,trajectory_plus_oisst_cuti_beuti,70,11,0.15714285714285714,0.250586832518592,0.09344397537573484,True,2024,7,1,0.09090909090909091,14,4,0.36363636363636365
