year,split,current_reference_state,next_reference_state,count,row_total,transition_probability,overall_share
2007,train,lower_mid_p25_p50,high_above_p75,7,16,0.437500,0.140000
2007,train,lower_mid_p25_p50,low_below_p25,1,16,0.062500,0.020000
2007,train,lower_mid_p25_p50,lower_mid_p25_p50,3,16,0.187500,0.060000
2007,train,lower_mid_p25_p50,upper_mid_p50_p75,5,16,0.312500,0.100000
2007,train,upper_mid_p50_p75,high_above_p75,11,22,0.500000,0.220000
2007,train,upper_mid_p50_p75,low_below_p25,1,22,0.045455,0.020000
2007,train,upper_mid_p50_p75,lower_mid_p25_p50,2,22,0.090909,0.040000
2007,train,upper_mid_p50_p75,upper_mid_p50_p75,8,22,0.363636,0.160000
2008,train,high_above_p75,high_above_p75,12,24,0.500000,0.240000
2008,train,high_above_p75,lower_mid_p25_p50,1,24,0.041667,0.020000
2008,train,high_above_p75,upper_mid_p50_p75,11,24,0.458333,0.220000
2008,train,low_below_p25,lower_mid_p25_p50,3,4,0.750000,0.060000
2008,train,low_below_p25,upper_mid_p50_p75,1,4,0.250000,0.020000
2008,train,lower_mid_p25_p50,lower_mid_p25_p50,1,6,0.166667,0.020000
2008,train,lower_mid_p25_p50,upper_mid_p50_p75,5,6,0.833333,0.100000
2008,train,upper_mid_p50_p75,high_above_p75,10,16,0.625000,0.200000
2008,train,upper_mid_p50_p75,lower_mid_p25_p50,3,16,0.187500,0.060000
2008,train,upper_mid_p50_p75,upper_mid_p50_p75,3,16,0.187500,0.060000
2009,train,high_above_p75,high_above_p75,5,22,0.227273,0.100000
2009,train,high_above_p75,low_below_p25,7,22,0.318182,0.140000
2009,train,high_above_p75,lower_mid_p25_p50,4,22,0.181818,0.080000
2009,train,high_above_p75,upper_mid_p50_p75,6,22,0.272727,0.120000
2009,train,lower_mid_p25_p50,high_above_p75,2,8,0.250000,0.040000
2009,train,lower_mid_p25_p50,low_below_p25,2,8,0.250000,0.040000
2009,train,lower_mid_p25_p50,lower_mid_p25_p50,2,8,0.250000,0.040000
2009,train,lower_mid_p25_p50,upper_mid_p50_p75,2,8,0.250000,0.040000
2009,train,upper_mid_p50_p75,high_above_p75,3,20,0.150000,0.060000
2009,train,upper_mid_p50_p75,low_below_p25,5,20,0.250000,0.100000
2009,train,upper_mid_p50_p75,lower_mid_p25_p50,9,20,0.450000,0.180000
2009,train,upper_mid_p50_p75,upper_mid_p50_p75,3,20,0.150000,0.060000
2010,train,high_above_p75,high_above_p75,3,10,0.300000,0.060000
2010,train,high_above_p75,low_below_p25,3,10,0.300000,0.060000
2010,train,high_above_p75,lower_mid_p25_p50,3,10,0.300000,0.060000
2010,train,high_above_p75,upper_mid_p50_p75,1,10,0.100000,0.020000
2010,train,low_below_p25,low_below_p25,10,14,0.714286,0.200000
2010,train,low_below_p25,lower_mid_p25_p50,2,14,0.142857,0.040000
2010,train,low_below_p25,upper_mid_p50_p75,2,14,0.142857,0.040000
2010,train,lower_mid_p25_p50,high_above_p75,1,15,0.066667,0.020000
2010,train,lower_mid_p25_p50,low_below_p25,8,15,0.533333,0.160000
2010,train,lower_mid_p25_p50,lower_mid_p25_p50,4,15,0.266667,0.080000
2010,train,lower_mid_p25_p50,upper_mid_p50_p75,2,15,0.133333,0.040000
2010,train,upper_mid_p50_p75,high_above_p75,1,11,0.090909,0.020000
2010,train,upper_mid_p50_p75,low_below_p25,5,11,0.454545,0.100000
2010,train,upper_mid_p50_p75,lower_mid_p25_p50,3,11,0.272727,0.060000
2010,train,upper_mid_p50_p75,upper_mid_p50_p75,2,11,0.181818,0.040000
2011,train,high_above_p75,high_above_p75,2,5,0.400000,0.040000
2011,train,high_above_p75,lower_mid_p25_p50,1,5,0.200000,0.020000
2011,train,high_above_p75,upper_mid_p50_p75,2,5,0.400000,0.040000
2011,train,low_below_p25,high_above_p75,4,26,0.153846,0.080000
2011,train,low_below_p25,low_below_p25,12,26,0.461538,0.240000
2011,train,low_below_p25,lower_mid_p25_p50,7,26,0.269231,0.140000
2011,train,low_below_p25,upper_mid_p50_p75,3,26,0.115385,0.060000
2011,train,lower_mid_p25_p50,high_above_p75,7,12,0.583333,0.140000
2011,train,lower_mid_p25_p50,lower_mid_p25_p50,5,12,0.416667,0.100000
2011,train,upper_mid_p50_p75,high_above_p75,5,7,0.714286,0.100000
2011,train,upper_mid_p50_p75,upper_mid_p50_p75,2,7,0.285714,0.040000
2012,train,high_above_p75,high_above_p75,10,18,0.555556,0.200000
2012,train,high_above_p75,lower_mid_p25_p50,2,18,0.111111,0.040000
2012,train,high_above_p75,upper_mid_p50_p75,6,18,0.333333,0.120000
