evaluation_context,target,oisst_matching_variant,feature_set,model_family,model_variant,n_observations,n_positive_events,event_prevalence,precision,recall,f1,f2,pr_auc,roc_auc,false_positives,false_negatives,true_positives,true_negatives
new_decline_transition,new_decline_event_next,nearest,canopy_current_plus_trajectory_plus_environment,Logistic Regression,cost_sensitive,200,26,0.13,0.1509433962264151,0.3076923076923077,0.20253164556962025,0.25477707006369427,0.1364385510077213,0.5139257294429708,45,18,8,129
new_decline_transition,new_decline_event_next,nearest,canopy_current_plus_trajectory_plus_environment,SVM,cost_sensitive,200,26,0.13,0.0,0.0,0.0,0.0,0.15193013221384374,0.575817860300619,2,26,0,172
new_decline_transition,new_decline_event_next,nearest,canopy_current_plus_trajectory_plus_environment,Random Forest,cost_sensitive,200,26,0.13,0.0,0.0,0.0,0.0,0.15843938116859427,0.613395225464191,0,26,0,174
new_decline_transition,new_decline_event_next,nearest,canopy_current_plus_trajectory_plus_environment,XGBoost,cost_sensitive,200,26,0.13,0.05555555555555555,0.038461538461538464,0.045454545454545456,0.040983606557377046,0.15541770359378976,0.6007957559681697,17,25,1,157
new_decline_transition,new_decline_event_next,nearest,canopy_current_plus_trajectory_plus_environment,LightGBM,cost_sensitive,200,26,0.13,0.0,0.0,0.0,0.0,0.15405994710327642,0.6063218390804598,4,26,0,170
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_only,Logistic Regression,cost_sensitive,200,45,0.225,0.5,0.28888888888888886,0.36619718309859156,0.3155339805825243,0.49043317374588313,0.8229390681003584,13,32,13,142
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_only,SVM,cost_sensitive,200,45,0.225,0.0,0.0,0.0,0.0,0.4550303204722751,0.8219354838709677,0,45,0,155
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_only,Random Forest,cost_sensitive,200,45,0.225,0.5789473684210527,0.24444444444444444,0.34375,0.27638190954773867,0.5710651658027616,0.8662365591397849,8,34,11,147
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_only,XGBoost,cost_sensitive,200,45,0.225,0.47368421052631576,0.6,0.5294117647058824,0.569620253164557,0.6054149880119497,0.8630824372759857,30,18,27,125
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_only,LightGBM,cost_sensitive,200,45,0.225,0.6,0.5333333333333333,0.5647058823529412,0.5454545454545454,0.6771198668706003,0.8911827956989247,16,21,24,139
actionable_low_next,actionable_decline_low_next,nearest,environment_only,Logistic Regression,cost_sensitive,200,45,0.225,0.25274725274725274,0.5111111111111111,0.3382352941176471,0.42435424354243545,0.23733257453309597,0.5293906810035842,68,22,23,87
actionable_low_next,actionable_decline_low_next,nearest,environment_only,SVM,cost_sensitive,200,45,0.225,0.25,0.022222222222222223,0.04081632653061224,0.02717391304347826,0.3337200630661821,0.6208602150537634,3,44,1,152
