target,feature_set,model_family,model_variant,model,selection_rule,threshold,precision_floor_target,precision_floor_used,precision_floor_fallback_used,validation_precision,validation_recall,validation_f1,validation_f2,test_precision,test_recall,test_f1,test_f2,test_pr_auc,test_roc_auc,test_false_positives,test_false_negatives,test_true_positives,test_true_negatives,test_predicted_positive_rate
decline_event_next,canopy_current_only,LightGBM,cost_sensitive,LightGBM (cost_sensitive),recall_ge_0.70_then_max_f1,0.4,,,False,0.6511627906976745,0.8155339805825242,0.7241379310344828,0.7763401109057301,0.7950819672131147,0.7238805970149254,0.7578125,0.7370820668693009,0.877195809506113,0.7678652193577566,25,37,97,41,0.61
decline_event_next,canopy_current_only,LightGBM,cost_sensitive,LightGBM (cost_sensitive),max_recall_precision_ge_0.65,0.4,0.65,0.65,False,0.6511627906976745,0.8155339805825242,0.7241379310344828,0.7763401109057301,0.7950819672131147,0.7238805970149254,0.7578125,0.7370820668693009,0.877195809506113,0.7678652193577566,25,37,97,41,0.61
decline_event_next,canopy_trajectory_only,Logistic Regression,unweighted,Logistic Regression (unweighted),default_0.5,0.5,,,False,1.0,0.009708737864077669,0.019230769230769232,0.012106537530266344,0.0,0.0,0.0,0.0,0.7028562996573682,0.46834011759384897,0,134,0,66,0.0
decline_event_next,canopy_trajectory_only,Logistic Regression,unweighted,Logistic Regression (unweighted),max_f1,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,0.67,1.0,0.8023952095808383,0.9103260869565217,0.7028562996573682,0.46834011759384897,66,0,134,0,1.0
decline_event_next,canopy_trajectory_only,Logistic Regression,unweighted,Logistic Regression (unweighted),max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,0.67,1.0,0.8023952095808383,0.9103260869565217,0.7028562996573682,0.46834011759384897,66,0,134,0,1.0
decline_event_next,canopy_trajectory_only,Logistic Regression,unweighted,Logistic Regression (unweighted),recall_ge_0.70_then_max_f1,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,0.67,1.0,0.8023952095808383,0.9103260869565217,0.7028562996573682,0.46834011759384897,66,0,134,0,1.0
decline_event_next,canopy_trajectory_only,Logistic Regression,unweighted,Logistic Regression (unweighted),max_recall_precision_ge_0.65,0.4,0.65,0.65,False,0.6666666666666666,0.11650485436893204,0.19834710743801653,0.13953488372093023,0.7857142857142857,0.08208955223880597,0.14864864864864866,0.1,0.7028562996573682,0.46834011759384897,3,123,11,63,0.07
decline_event_next,canopy_trajectory_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),default_0.5,0.5,,,False,0.5765765765765766,0.6213592233009708,0.5981308411214953,0.6118546845124283,0.6388888888888888,0.5149253731343284,0.5702479338842975,0.5357142857142857,0.6972109676682121,0.4608774310266847,39,65,69,27,0.54
decline_event_next,canopy_trajectory_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),max_f1,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,0.67,1.0,0.8023952095808383,0.9103260869565217,0.6972109676682121,0.4608774310266847,66,0,134,0,1.0
decline_event_next,canopy_trajectory_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,0.67,1.0,0.8023952095808383,0.9103260869565217,0.6972109676682121,0.4608774310266847,66,0,134,0,1.0
decline_event_next,canopy_trajectory_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),recall_ge_0.70_then_max_f1,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,0.67,1.0,0.8023952095808383,0.9103260869565217,0.6972109676682121,0.4608774310266847,66,0,134,0,1.0
